Time,Wholesale price corrected,group,tariff,Kosten_Stufen,Kosten_Dynamic
2023-01-01 00:00:00.000,16.7835815,winter weekend,18.57,0.07269924879610859,0.06570564174250218
2023-01-01 01:00:00.000,17.247086499999998,winter weekend,18.57,0.05606195227553449,0.052068138947496775
2023-01-01 02:00:00.000,17.201866499999998,winter weekend,18.57,0.04288980303027997,0.039729922775345795
2023-01-01 03:00:00.000,16.793756000000002,winter weekend,18.57,0.038529683942129515,0.03484427091444488
2023-01-01 04:00:00.000,16.8604555,winter weekend,18.57,0.03593656048444004,0.03262825949762842
2023-01-01 05:00:00.000,16.75758,winter weekend,18.57,0.03527106862361708,0.03182863511824195
2023-01-01 06:00:00.000,16.800538999999997,winter weekend,18.57,0.03683153229727092,0.033322002950460936
2023-01-01 07:00:00.000,17.221085,winter weekend,18.57,0.042247259164657804,0.03917844055420575
2023-01-01 08:00:00.000,17.205258,winter weekend,18.57,0.06962421743920248,0.06450741109798482
2023-01-01 09:00:00.000,17.2448255,winter weekend,18.57,0.11680529557203054,0.10846994828301504
2023-01-01 10:00:00.000,17.247086499999998,winter weekend,18.57,0.1526271160804666,0.14175406964379905
2023-01-01 11:00:00.000,17.247086499999998,winter weekend,18.57,0.1803941902734247,0.16754303735827758
2023-01-01 12:00:00.000,17.2787405,winter weekend,18.57,0.19241893975863966,0.17903914525442477
2023-01-01 13:00:00.000,17.3375265,winter weekend,18.57,0.16855302474981618,0.15736631843053814
2023-01-01 14:00:00.000,17.474257499999997,winter weekend,18.57,0.13183623242854917,0.1240570960304964
2023-01-01 15:00:00.000,20.3081235,winter weekend,18.57,0.11047164889661198,0.12081162568880104
2023-01-01 16:00:00.000,21.933723,winter weekend,18.57,0.0988829113202121,0.11679431267264923
2023-01-01 17:00:00.000,23.1194985,winter weekend,25.45,0.14819239438217766,0.1346221547988277
2023-01-01 18:00:00.000,24.311521500000005,winter weekend,25.45,0.18838549285849834,0.17995826954489114
2023-01-01 19:00:00.000,24.234052500000004,winter weekend,25.45,0.21782269174256422,0.20741558142949384
2023-01-01 20:00:00.000,23.519338500000003,winter weekend,25.45,0.21112384199651074,0.19510778409966417
2023-01-01 21:00:00.000,22.989550500000004,winter weekend,25.45,0.17599419332823985,0.15897946543129013
2023-01-01 22:00:00.000,23.110752,winter weekend,25.45,0.1524695942200334,0.13845528406914834
2023-01-01 23:00:00.000,21.7413,winter weekend,18.57,0.08474694627652431,0.09921964367699504
2023-01-02 00:00:00.000,24.60390450000001,winter weekend,25.45,0.08132757191121787,0.07862380402830993
2023-01-02 01:00:00.000,23.8242165,winter weekend,25.45,0.05720018225823844,0.05354615033240595
2023-01-02 02:00:00.000,23.981653500000004,winter weekend,25.45,0.050365138453151576,0.0474593044739885
2023-01-02 03:00:00.000,22.877095500000003,winter weekend,25.45,0.04875874566946757,0.04382940986800083
2023-01-02 04:00:00.000,23.625546000000003,winter weekend,25.45,0.04875874566946757,0.0452633394387547
2023-01-02 05:00:00.000,26.079564000000005,winter weekend,25.45,0.054081890384028296,0.05541972972539297
2023-01-02 06:00:00.000,30.497796,winter weekend,31.47,0.11863707309921334,0.11497201313685722
2023-01-02 07:00:00.000,34.94101800000001,winter weekend,31.47,0.19252234153953102,0.2137568033407977
2023-01-02 08:00:00.000,35.608251,winter weekend,31.47,0.2095817762136792,0.2371414201602326
2023-01-02 09:00:00.000,35.74194750000001,winter weekend,31.47,0.196495086600634,0.22316863899865957
2023-01-02 10:00:00.000,35.562019500000005,winter weekend,31.47,0.18235678800082625,0.20606849859684623
2023-01-02 11:00:00.000,35.279632500000005,winter weekend,31.47,0.18208414863388783,0.2041265283723845
2023-01-02 12:00:00.000,35.408331000000004,winter weekend,31.47,0.19844251065019433,0.223276711203467
2023-01-02 13:00:00.000,35.330862,winter weekend,31.47,0.20592061900050587,0.23118376145095176
2023-01-02 14:00:00.000,35.88564,winter weekend,31.47,0.18488843926525467,0.210830631446927
2023-01-02 15:00:00.000,36.77778300000001,winter weekend,31.47,0.16654370471839663,0.1946332453812923
2023-01-02 16:00:00.000,37.7211555,winter weekend,31.47,0.1610130204176454,0.19299641502061257
2023-01-02 17:00:00.000,38.60955,winter weekend,31.47,0.18780957533959514,0.23041764186694835
2023-01-02 18:00:00.000,39.201813,winter weekend,31.47,0.24463540910576456,0.304739483982926
2023-01-02 19:00:00.000,37.91732700000001,winter weekend,31.47,0.28849139870186247,0.3475952558393993
2023-01-02 20:00:00.000,36.485400000000006,winter weekend,31.47,0.27408046073511627,0.31776089107419814
2023-01-02 21:00:00.000,35.069716500000006,winter weekend,31.47,0.22835494405144044,0.25447547344319604
2023-01-02 22:00:00.000,34.225054500000006,winter weekend,31.47,0.19248339305853981,0.20933443335791066
2023-01-02 23:00:00.000,32.88933900000001,winter weekend,31.47,0.1466020824508992,0.1532140320252169
2023-01-03 00:00:00.000,33.6127995,winter weekend,31.47,0.10070686547654725,0.10756401898750095
2023-01-03 01:00:00.000,32.36205,winter weekend,31.47,0.07083023536228111,0.07283799231985733
2023-01-03 02:00:00.000,32.207112,winter weekend,31.47,0.06236649027769135,0.0638272811382433
2023-01-03 03:00:00.000,31.737300000000005,winter weekend,31.47,0.060377315165644915,0.060890148223915565
2023-01-03 04:00:00.000,31.566118500000005,winter weekend,31.47,0.060377315165644915,0.060561724983495234
2023-01-03 05:00:00.000,31.895986500000006,winter weekend,31.47,0.06696889543889684,0.06787540466599828
2023-01-03 06:00:00.000,34.72610400000001,winter weekend,31.47,0.11880445865281294,0.13109679017608145
2023-01-03 07:00:00.000,37.35005400000001,winter weekend,31.47,0.19279397213422664,0.2288168182423852
2023-01-03 08:00:00.000,38.5058415,winter weekend,31.47,0.20987747603768425,0.2568004075858633
2023-01-03 09:00:00.000,38.756991000000006,winter weekend,31.47,0.1967723223583195,0.24233565702861423
2023-01-03 10:00:00.000,38.4308715,winter weekend,31.47,0.1826140759725772,0.22300661225908336
2023-01-03 11:00:00.000,38.54582550000001,winter weekend,31.47,0.18234105193759043,0.22333925546465838
2023-01-03 12:00:00.000,37.922325,winter weekend,31.47,0.19872249403679643,0.23946676211229606
2023-01-03 13:00:00.000,37.47375450000001,winter weekend,31.47,0.2062111532821477,0.24555151360842314
2023-01-03 14:00:00.000,37.742397,winter weekend,31.47,0.18514929915459719,0.2220520607869263
2023-01-03 15:00:00.000,38.325913500000006,winter weekend,31.47,0.16677868194334472,0.20311233993659497
2023-01-03 16:00:00.000,38.1859695,winter weekend,31.47,0.16124019437647033,0.19565024291814326
2023-01-03 17:00:00.000,38.699514,winter weekend,31.47,0.18807455667231254,0.23128039208719264
2023-01-03 18:00:00.000,38.4758535,winter weekend,31.47,0.24498056625026857,0.2995181562565103
2023-01-03 19:00:00.000,37.483750500000006,winter weekend,31.47,0.2888984324495684,0.34410539440040444
2023-01-03 20:00:00.000,36.063069000000006,winter weekend,31.47,0.2744671620288393,0.31452584056181165
2023-01-03 21:00:00.000,33.73525050000001,winter weekend,31.47,0.22867713101820164,0.2451376008427186
2023-01-03 22:00:00.000,31.646086500000003,winter weekend,31.47,0.1927549687006571,0.1938335053322462
2023-01-03 23:00:00.000,29.070867000000003,winter weekend,31.47,0.14680892395574124,0.13561686376645912
2023-01-04 00:00:00.000,27.475255500000006,winter weekend,25.45,0.0815482571700913,0.08803768963960573
2023-01-04 01:00:00.000,26.19826650000001,winter weekend,25.45,0.05735539698717499,0.0590417279168294
2023-01-04 02:00:00.000,22.366050000000005,winter weekend,25.45,0.0505018060476282,0.04438215792344028
2023-01-04 03:00:00.000,18.452616,winter weekend,18.57,0.035674140573990806,0.03544863851060161
2023-01-04 04:00:00.000,17.474257499999997,winter weekend,18.57,0.035674140573990806,0.033569150160533814
2023-01-04 05:00:00.000,18.744999,winter weekend,18.57,0.03956879803975595,0.03994168442037842
2023-01-04 06:00:00.000,24.99249900000001,winter weekend,25.45,0.09620294010073516,0.09447355144458484
2023-01-04 07:00:00.000,27.264090000000003,winter weekend,25.45,0.15611658992709582,0.1672446663365593
2023-01-04 08:00:00.000,27.88884,winter weekend,25.45,0.1699501052797294,0.18623620016226045
2023-01-04 09:00:00.000,27.778884000000005,winter weekend,25.45,0.15933809350236663,0.1739188375710569
2023-01-04 10:00:00.000,26.12329650000001,winter weekend,25.45,0.14787333077860865,0.15178541706766882
2023-01-04 11:00:00.000,27.331563000000003,winter weekend,25.45,0.1476522471999136,0.1585684360092736
2023-01-04 12:00:00.000,27.475255500000006,winter weekend,25.45,0.16091726192161704,0.17372270670557372
2023-01-04 13:00:00.000,27.32906400000001,winter weekend,25.45,0.16698126865153864,0.1793100895001609
2023-01-04 14:00:00.000,27.391539000000005,winter weekend,25.45,0.14992624972363422,0.16136387883806155
2023-01-04 15:00:00.000,27.331563000000003,winter weekend,25.45,0.1350504832142953,0.14503500157767998
2023-01-04 16:00:00.000,27.466509,winter weekend,25.45,0.13056564490362413,0.14091090219395663
2023-01-04 17:00:00.000,28.133742,winter weekend,25.45,0.15229500235250978,0.16835474672200015
2023-01-04 18:00:00.000,26.399436,winter weekend,25.45,0.19837513682623686,0.20577570642968504
2023-01-04 19:00:00.000,25.690969500000005,winter weekend,25.45,0.23393800962775618,0.2361530165122747
2023-01-04 20:00:00.000,22.76589,winter weekend,25.45,0.2222521633253031,0.19881211404816834
2023-01-04 21:00:00.000,21.2727375,winter weekend,18.57,0.13511465515846774,0.15477967644529378
2023-01-04 22:00:00.000,21.736302,winter weekend,18.57,0.11388992423557014,0.1333088738794546
2023-01-04 23:00:00.000,18.5038455,winter weekend,18.57,0.08674254852745568,0.08643353345332754
2023-01-05 00:00:00.000,17.374297499999997,winter weekend,18.57,0.0595739571702594,0.0557380535879561
2023-01-05 01:00:00.000,17.3767965,winter weekend,18.57,0.04190019605778122,0.0392079256976934
2023-01-05 02:00:00.000,17.3767965,winter weekend,18.57,0.03689339950241859,0.03452283766002849
2023-01-05 03:00:00.000,17.383044,winter weekend,18.57,0.035716686947932445,0.03343375017502076
2023-01-05 04:00:00.000,17.646688499999996,winter weekend,18.57,0.035716686947932445,0.03394083192364994
2023-01-05 05:00:00.000,18.6262965,winter weekend,18.57,0.03961598933436693,0.03973608850203317
2023-01-05 06:00:00.000,24.994998,winter weekend,25.45,0.09631767548602976,0.0945956819700575
2023-01-05 07:00:00.000,28.2624405,winter weekend,25.45,0.156302780672175,0.1735755614432965
2023-01-05 08:00:00.000,29.343258,winter weekend,31.47,0.2104011174956052,0.19618221398671296
2023-01-05 09:00:00.000,33.0555225,winter weekend,31.47,0.19726326663544475,0.20720179055263566
2023-01-05 10:00:00.000,33.851454000000004,winter weekend,31.47,0.18306969561687858,0.1969232723218547
2023-01-05 11:00:00.000,35.2446465,winter weekend,31.47,0.18279599039062525,0.2047213238937078
2023-01-05 12:00:00.000,34.9747545,winter weekend,31.47,0.1992183039658258,0.22140487045157717
2023-01-05 13:00:00.000,35.183421,winter weekend,31.47,0.20672564731448892,0.2311190175075686
2023-01-05 14:00:00.000,36.2392485,winter weekend,31.47,0.18561124414637387,0.21374045125562804
2023-01-05 15:00:00.000,37.29507600000001,winter weekend,31.47,0.16719479249418473,0.19814243701540676
2023-01-05 16:00:00.000,38.9506635,winter weekend,31.47,0.16164248647590262,0.20006616136085742
2023-01-05 17:00:00.000,41.69581499999999,winter weekend,31.47,0.1885438001419454,0.24980894217081434
2023-01-05 18:00:00.000,41.69206649999999,winter weekend,31.47,0.24559178944246354,0.3253647669936188
2023-01-05 19:00:00.000,39.60665099999999,winter weekend,31.47,0.28961923012264407,0.36450104132050365
2023-01-05 20:00:00.000,37.85860050000001,winter weekend,31.47,0.27515195387782454,0.33100946611550647
2023-01-05 21:00:00.000,36.36045,winter weekend,31.47,0.22924767736047824,0.26487285383799813
2023-01-05 22:00:00.000,35.440818,winter weekend,31.47,0.19323588973485986,0.21761798535625157
2023-01-05 23:00:00.000,33.2367,winter weekend,31.47,0.14717521023108307,0.1554375058750378
2023-01-06 00:00:00.000,30.763939500000006,winter weekend,31.47,0.10106780680840723,0.0988002508437092
2023-01-06 01:00:00.000,30.000495,winter weekend,31.47,0.07108409650041346,0.06776479445949067
2023-01-06 02:00:00.000,29.454463500000006,winter weekend,31.47,0.0625900166873134,0.05858135881731375
2023-01-06 03:00:00.000,27.656433000000003,winter weekend,25.45,0.04900254133697342,0.053250903784508294
2023-01-06 04:00:00.000,27.605203500000005,winter weekend,25.45,0.04900254133697342,0.053152264268145906
2023-01-06 05:00:00.000,27.867598500000003,winter weekend,25.45,0.054352301986810944,0.05951544712452652
2023-01-06 06:00:00.000,29.5194375,winter weekend,31.47,0.11923026318296223,0.11184017483755973
2023-01-06 07:00:00.000,30.676474500000005,winter weekend,31.47,0.1934849609039338,0.18860617951391873
2023-01-06 08:00:00.000,32.449515000000005,winter weekend,31.47,0.21062969342991456,0.21718561793452223
2023-01-06 09:00:00.000,31.969707000000003,winter weekend,31.47,0.19747756984834022,0.2006132839886709
2023-01-06 10:00:00.000,31.46865750000001,winter weekend,31.47,0.1832685791932466,0.18326076101505895
2023-01-06 11:00:00.000,31.53363150000001,winter weekend,31.47,0.18299457661863044,0.18336458676804607
2023-01-06 12:00:00.000,31.737300000000005,winter weekend,31.47,0.19943473109559834,0.20112869053703
2023-01-06 13:00:00.000,31.085061000000003,winter weekend,31.47,0.20695023028506934,0.20441882848348997
2023-01-06 14:00:00.000,32.32581450000001,winter weekend,31.47,0.18581288881468208,0.19086599858698886
2023-01-06 15:00:00.000,33.090508500000006,winter weekend,31.47,0.16737642986551102,0.1759952708981362
2023-01-06 16:00:00.000,34.80732150000001,winter weekend,31.47,0.16181809192329805,0.17897853034924657
2023-01-06 17:00:00.000,36.8515035,winter weekend,31.47,0.1887486306855692,0.22102544723004325
2023-01-06 18:00:00.000,37.797375,winter weekend,31.47,0.24585859588056,0.2952910564178895
2023-01-06 19:00:00.000,35.703213000000005,winter weekend,31.47,0.2899338671688119,0.32893456038899915
2023-01-06 20:00:00.000,34.783581000000005,winter weekend,31.47,0.27545087393910217,0.30445401287516843
2023-01-06 21:00:00.000,33.83646000000001,winter weekend,31.47,0.22949672785348246,0.24675426921338567
2023-01-06 22:00:00.000,33.60405300000001,winter weekend,31.47,0.19344581767898864,0.20656382300327525
2023-01-06 23:00:00.000,32.524485,winter weekend,31.47,0.14733509869358824,0.15227194812307374
2023-01-07 00:00:00.000,29.506942500000005,winter weekend,31.47,0.11715317114192673,0.10984530932880496
2023-01-07 01:00:00.000,29.666878500000003,winter weekend,31.47,0.08945173569131061,0.0843264624838966
2023-01-07 02:00:00.000,29.369497500000005,winter weekend,31.47,0.06825445623051384,0.06369873154197445
2023-01-07 03:00:00.000,28.359901500000007,winter weekend,25.45,0.050856789551944316,0.056671651956753256
2023-01-07 04:00:00.000,27.737650500000008,winter weekend,25.45,0.049018974103961284,0.0534251933816986
2023-01-07 05:00:00.000,27.812620500000005,winter weekend,25.45,0.049494271202577586,0.05408901304052532
2023-01-07 06:00:00.000,28.708512,winter weekend,31.47,0.07569897212247574,0.06905639814317636
2023-01-07 07:00:00.000,30.2641395,winter weekend,31.47,0.11507654302469526,0.11066706549974989
2023-01-07 08:00:00.000,31.344957,winter weekend,31.47,0.17326131196976588,0.17257287491121376
2023-01-07 09:00:00.000,31.362450000000003,winter weekend,31.47,0.2171839557323411,0.21644172076446652
2023-01-07 10:00:00.000,29.86305,winter weekend,31.47,0.22976126942349775,0.21802898877843613
2023-01-07 11:00:00.000,28.403634000000004,winter weekend,25.45,0.1935409785565582,0.21600263728574967
2023-01-07 12:00:00.000,28.351155,winter weekend,25.45,0.20773651856856512,0.23141729811779044
2023-01-07 13:00:00.000,29.119597500000005,winter weekend,31.47,0.2631440459495585,0.24349058476557517
2023-01-07 14:00:00.000,28.486101,winter weekend,31.47,0.24539475279661774,0.22212709606083528
2023-01-07 15:00:00.000,28.058772000000005,winter weekend,25.45,0.1846053931025717,0.20352851218213885
2023-01-07 16:00:00.000,29.12584500000001,winter weekend,31.47,0.22294366013296427,0.20633690780951378
2023-01-07 17:00:00.000,29.464459500000004,winter weekend,31.47,0.2646329491279509,0.2477682495057537
2023-01-07 18:00:00.000,29.80307400000001,winter weekend,31.47,0.32266099142266436,0.3055700478005413
2023-01-07 19:00:00.000,29.185821000000004,winter weekend,31.47,0.3325739520577505,0.30843482154496626
2023-01-07 20:00:00.000,28.346157000000005,winter weekend,25.45,0.23454327493052454,0.26123381117779226
