,dynamic prices,tariff,Abrechnung_Stufen,Abrechnung_Dynamic
2023-01-01 00:00:00,16.7835815,20.07,0.0,0.0
2023-01-01 01:00:00,17.247086499999998,20.07,0.24565680000003212,0.2111043387600276
2023-01-01 02:00:00,17.201866499999998,20.07,0.15032430000014166,0.12884198008512138
2023-01-01 03:00:00,16.793756000000002,20.07,0.24706169999995328,0.20673113635996093
2023-01-01 04:00:00,16.8604555,20.07,0.15413760000000584,0.1294882982400049
2023-01-01 05:00:00,16.75758,20.07,0.23220990000003067,0.19388520060002562
2023-01-01 06:00:00,16.800538999999997,20.07,0.16035929999999562,0.1342363066099963
2023-01-01 07:00:00,17.221085,20.07,0.3371759999998759,0.2893142279998935
2023-01-01 08:00:00,17.205258,20.07,0.15554250000010952,0.1333407495000939
2023-01-01 09:00:00,17.2448255,20.07,0.1131947999998788,0.09726081581989586
2023-01-01 10:00:00,17.247086499999998,20.07,0.19789019999997517,0.17005627288997865
2023-01-01 11:00:00,17.247086499999998,20.07,0.32392980000009786,0.27836797611008407
2023-01-01 12:00:00,17.2787405,20.07,0.04756590000001607,0.04095061498501384
2023-01-01 13:00:00,17.3375265,20.07,0.30084929999995913,0.25988952223496464
2023-01-01 14:00:00,17.474257499999997,20.07,0.19628460000001316,0.17089823835001142
2023-01-01 15:00:00,20.3081235,20.07,0.2560931999999679,0.2591316558599675
2023-01-01 16:00:00,21.933723,20.07,0.2253861000001008,0.24631570929011012
2023-01-01 17:00:00,23.1194985,20.07,0.28820519999993865,0.3319959984599294
2023-01-01 18:00:00,24.311521500000005,28.47,0.30491369999997514,0.26037639526497885
2023-01-01 19:00:00,24.234052500000004,20.07,0.29944440000003797,0.36157206330004593
2023-01-01 20:00:00,23.519338500000003,20.07,0.181432799999908,0.21261482003989224
2023-01-01 21:00:00,22.989550500000004,20.07,0.26853660000012997,0.3076001856901489
2023-01-01 22:00:00,23.110752,20.07,0.1633697999998788,0.18812152127986045
2023-01-01 23:00:00,21.7413,20.07,0.24786450000011684,0.26850505500012656
2023-01-02 00:00:00,24.60390450000001,21.86,0.19455399999987275,0.21897475004985686
2023-01-02 01:00:00,23.8242165,21.86,0.24548780000010975,0.2675459512951196
2023-01-02 02:00:00,23.981653500000004,21.86,0.17881480000004613,0.19616992563005065
2023-01-02 03:00:00,22.877095500000003,21.86,0.21379079999981548,0.22373799398980695
2023-01-02 04:00:00,23.625546000000003,21.86,0.22034880000015747,0.2381455036801702
2023-01-02 05:00:00,26.079564000000005,29.68,0.7289408000000388,0.6405140918400344
2023-01-02 06:00:00,30.497796,29.68,0.28463119999995035,0.292473863639949
2023-01-02 07:00:00,34.94101800000001,36.4,0.21476000000005296,0.20615200620005086
2023-01-02 08:00:00,35.608251,36.4,0.31121999999984107,0.30445054604984456
2023-01-02 09:00:00,35.74194750000001,36.4,0.31485999999992054,0.3091678458749221
2023-01-02 10:00:00,35.562019500000005,36.4,0.376739999999947,0.36806690182494833
2023-01-02 11:00:00,35.279632500000005,36.4,0.03967600000013772,0.03845479942513349
2023-01-02 12:00:00,35.408331000000004,36.4,0.13504400000003444,0.1313649080100335
2023-01-02 13:00:00,35.330862,36.4,0.3501679999998305,0.33988289243983555
2023-01-02 14:00:00,35.88564,36.4,0.27445600000029663,0.2705777256002925
2023-01-02 15:00:00,36.77778300000001,36.4,0.4622799999998279,0.46707784409982617
2023-01-02 16:00:00,37.7211555,36.4,0.4255159999999523,0.4409603077949506
2023-01-02 17:00:00,38.60955,36.4,0.5092360000001245,0.540147604500132
2023-01-02 18:00:00,39.201813,36.4,0.4200559999998331,0.45238892201982034
2023-01-02 19:00:00,37.91732700000001,36.4,0.3956680000001615,0.41216134449016834
2023-01-02 20:00:00,36.485400000000006,36.4,0.48594000000001325,0.48708009000001334
2023-01-02 21:00:00,35.069716500000006,36.4,0.3920280000000821,0.37770084670507914
2023-01-02 22:00:00,34.225054500000006,36.4,0.483027999999751,0.45416647321476605
2023-01-02 23:00:00,32.88933900000001,29.68,0.22942640000004105,0.25423459047004554
2023-01-03 00:00:00,33.6127995,36.4,0.417143999999902,0.3852026822699095
2023-01-03 01:00:00,32.36205,29.68,0.2694944000001058,0.29384741400011544
2023-01-03 02:00:00,32.207112,29.68,0.28938000000010794,0.3140193420001172
2023-01-03 03:00:00,31.737300000000005,29.68,0.3068911999998964,0.3281636819998892
2023-01-03 04:00:00,31.566118500000005,29.68,0.2715719999999892,0.28882998427498857
2023-01-03 05:00:00,31.895986500000006,29.68,0.8078895999999266,0.8682087525299212
2023-01-03 06:00:00,34.72610400000001,36.4,0.376739999999947,0.3594151763999496
2023-01-03 07:00:00,37.35005400000001,36.4,0.3927560000002304,0.4030070826602365
2023-01-03 08:00:00,38.5058415,36.4,0.3272359999997934,0.34616751508478155
2023-01-03 09:00:00,38.756991000000006,36.4,0.8852480000002543,0.9425700211202708
2023-01-03 10:00:00,38.4308715,36.4,1.2951119999999972,1.3673704079699973
2023-01-03 11:00:00,38.54582550000001,36.4,0.8786959999999125,0.9304962275699076
2023-01-03 12:00:00,37.922325,36.4,0.6209840000000477,0.6469548645000497
2023-01-03 13:00:00,37.47375450000001,36.4,0.36108800000006885,0.371739644640071
2023-01-03 14:00:00,37.742397,36.4,0.2850119999997987,0.29552296850979126
2023-01-03 15:00:00,38.325913500000006,36.4,0.3709160000000848,0.39054105856508925
2023-01-03 16:00:00,38.1859695,36.4,0.4622799999998279,0.4849618126498194
2023-01-03 17:00:00,38.699514,36.4,0.37819600000024367,0.4020879504602591
2023-01-03 18:00:00,38.4758535,36.4,0.5540079999999762,0.5856024902699748
2023-01-03 19:00:00,37.483750500000006,36.4,0.32395999999978814,0.3336053794497819
2023-01-03 20:00:00,36.063069000000006,36.4,0.4520880000000688,0.4479033169800683
2023-01-03 21:00:00,33.73525050000001,36.4,0.40804400000003443,0.378172158105032
2023-01-03 22:00:00,31.646086500000003,29.68,0.3080784000001382,0.3284863778701474
2023-01-03 23:00:00,29.070867000000003,29.68,0.3644704000000194,0.35699024676001906
2023-01-04 00:00:00,27.475255500000006,29.68,0.23209759999977542,0.21485649800979215
2023-01-04 01:00:00,26.19826650000001,29.68,0.35556640000009504,0.313855232670084
2023-01-04 02:00:00,22.366050000000005,21.86,0.16416860000004452,0.1679690355000456
2023-01-04 03:00:00,18.452616,21.86,0.2688779999999046,0.22696717679991943
2023-01-04 04:00:00,17.474257499999997,21.86,0.16351280000010973,0.1307074461000877
2023-01-04 05:00:00,18.744999,21.86,0.46780399999987277,0.4011429785998909
2023-01-04 06:00:00,24.99249900000001,21.86,0.4177446000000127,0.4776066558900147
2023-01-04 07:00:00,27.264090000000003,29.68,0.780287199999972,0.7167729260999742
2023-01-04 08:00:00,27.88884,29.68,0.8479575999999913,0.7967841587999918
2023-01-04 09:00:00,27.778884000000005,29.68,0.7583240000000864,0.709750486200081
2023-01-04 10:00:00,26.12329650000001,29.68,1.0411743999999439,0.9164052412199508
2023-01-04 11:00:00,27.331563000000003,29.68,0.8369760000001836,0.7707500766001691
2023-01-04 12:00:00,27.475255500000006,29.68,0.5823215999998618,0.5390645129098722
2023-01-04 13:00:00,27.32906400000001,29.68,0.5327560000000215,0.49055669880002006
2023-01-04 14:00:00,27.391539000000005,29.68,0.5639199999998921,0.5204392409999005
2023-01-04 15:00:00,27.331563000000003,29.68,0.2338784000001382,0.21537271644012732
2023-01-04 16:00:00,27.466509,29.68,0.3721871999999719,0.34443002285997404
2023-01-04 17:00:00,28.133742,29.68,0.24753119999995032,0.2346354082799529
2023-01-04 18:00:00,26.399436,29.68,0.444606400000149,0.39546355128013255
2023-01-04 19:00:00,25.690969500000005,21.86,0.23783679999994273,0.27951774815993274
2023-01-04 20:00:00,22.76589,21.86,0.3281186000000445,0.34171600890004633
2023-01-04 21:00:00,21.2727375,21.86,0.19936319999985844,0.19400736599986224
2023-01-04 22:00:00,21.736302,21.86,0.2734686000000445,0.27192113802004425
