Time,Wholesale price corrected,group,tariff,Kosten_Stufen,Kosten_Dynamic
2023-01-01 00:00:00,16.7835815,winter weekend,19.67,0.0,0.0
2023-01-01 01:00:00,17.247086499999998,winter weekend,19.67,0.24076080000003153,0.2111043387600276
2023-01-01 02:00:00,17.201866499999998,winter weekend,19.67,0.14732830000013883,0.12884198008512138
2023-01-01 03:00:00,16.793756000000002,winter weekend,19.67,0.24213769999995421,0.20673113635996093
2023-01-01 04:00:00,16.8604555,winter weekend,19.67,0.15106560000000574,0.1294882982400049
2023-01-01 05:00:00,16.75758,winter weekend,19.67,0.2275819000000301,0.19388520060002562
2023-01-01 06:00:00,16.800538999999997,winter weekend,19.67,0.1571632999999957,0.1342363066099963
2023-01-01 07:00:00,17.221085,winter weekend,19.67,0.33045599999987835,0.2893142279998935
2023-01-01 08:00:00,17.205258,winter weekend,19.67,0.15244250000010737,0.1333407495000939
2023-01-01 09:00:00,17.2448255,winter weekend,19.67,0.11093879999988122,0.09726081581989586
2023-01-01 10:00:00,17.247086499999998,winter weekend,19.67,0.1939461999999757,0.17005627288997865
2023-01-01 11:00:00,17.247086499999998,winter weekend,19.67,0.31747380000009595,0.27836797611008407
2023-01-01 12:00:00,17.2787405,winter weekend,19.67,0.04661790000001575,0.04095061498501384
2023-01-01 13:00:00,17.3375265,winter weekend,19.67,0.29485329999995996,0.25988952223496464
2023-01-01 14:00:00,17.474257499999997,winter weekend,19.67,0.19237260000001288,0.17089823835001142
2023-01-01 15:00:00,20.3081235,winter weekend,19.67,0.25098919999996855,0.2591316558599675
2023-01-01 16:00:00,21.933723,winter weekend,19.67,0.2208941000000988,0.24631570929011012
2023-01-01 17:00:00,23.1194985,winter weekend,19.67,0.2824611999999399,0.3319959984599294
2023-01-01 18:00:00,24.311521500000005,winter weekend,27.88,0.2985947999999756,0.26037639526497885
2023-01-01 19:00:00,24.234052500000004,winter weekend,27.88,0.4159696000000528,0.36157206330004593
2023-01-01 20:00:00,23.519338500000003,winter weekend,19.67,0.17781679999990985,0.21261482003989224
2023-01-01 21:00:00,22.989550500000004,winter weekend,19.67,0.2631846000001274,0.3076001856901489
2023-01-01 22:00:00,23.110752,winter weekend,19.67,0.16011379999988123,0.18812152127986045
2023-01-01 23:00:00,21.7413,winter weekend,19.67,0.24292450000011453,0.26850505500012656
2023-01-02 00:00:00,24.60390450000001,winter weekend,27.88,0.2481319999998377,0.21897475004985686
2023-01-02 01:00:00,23.8242165,winter weekend,27.88,0.31309240000014,0.2675459512951196
2023-01-02 02:00:00,23.981653500000004,winter weekend,27.88,0.22805840000005884,0.19616992563005065
2023-01-02 03:00:00,22.877095500000003,winter weekend,19.67,0.19237259999983403,0.22373799398980695
2023-01-02 04:00:00,23.625546000000003,winter weekend,19.67,0.19827360000014171,0.2381455036801702
2023-01-02 05:00:00,26.079564000000005,winter weekend,27.88,0.6847328000000366,0.6405140918400344
2023-01-02 06:00:00,30.497796,winter weekend,27.88,0.26736919999995334,0.292473863639949
2023-01-02 07:00:00,34.94101800000001,winter weekend,33.58,0.19812200000004887,0.20615200620005086
2023-01-02 08:00:00,35.608251,winter weekend,33.58,0.2871089999998534,0.30445054604984456
2023-01-02 09:00:00,35.74194750000001,winter weekend,33.58,0.2904669999999267,0.3091678458749221
2023-01-02 10:00:00,35.562019500000005,winter weekend,33.58,0.3475529999999511,0.36806690182494833
